adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,en,9.312354,89,The Pyramid,4.6,365,2014,6.5,13.865435
FALSE,en,17.788579,94,Life of Crime,5.5,144,2013,12,0.265452
FALSE,en,10.846585,93,"As Above, So Below",6.1,788,2014,5,40.1
FALSE,en,6.441964,99,The Guest,6.5,661,2014,5,2.367161
FALSE,en,14.921298,92,Before I Go to Sleep,6.2,672,2014,22,15.447154
FALSE,en,1.845554,99,Atlas Shrugged Part III: Who is John Galt?,3.9,15,2014,5,0.846704
FALSE,en,9.092925,89,Into the Storm,5.8,829,2014,50,160.602194
FALSE,en,8.808328,137,Third Person,5.8,218,2013,28,1.749201
FALSE,en,6.107378,87,Honeymoon,5.4,261,2014,1,0.009318
FALSE,en,11.695036,106,The Drop,6.7,859,2014,12.6,19.054534
FALSE,en,76.93789,113,The Maze Runner,7,5540,2014,34,348.319861
FALSE,en,24.644321,83,No Good Deed,5.6,182,2014,13.2,53.830415
FALSE,en,11.153327,117,Camp X-Ray,6.7,395,2014,1,0.059744
FALSE,en,14.914924,113,A Walk Among the Tombstones,6.2,1145,2014,28,53.1816
FALSE,en,11.127162,107,My Old Lady,6.1,100,2014,5,7.527232
FALSE,en,3.711772,101,CBGB,6.5,45,2013,5,0.0404
FALSE,en,7.375146,122,The Homesman,6.4,262,2014,16,3.442853
FALSE,en,13.310556,108,The November Man,6,645,2014,15,32.556119
FALSE,en,11.563909,97,The Boxtrolls,6.6,689,2014,60,108.25577
FALSE,ja,7.566053,137,The Tale of the Princess Kaguya,8,350,2013,49.3,24.186232
FALSE,en,11.313659,103,This Is Where I Leave You,6.5,512,2014,19.8,41.29632
FALSE,en,19.228561,133,American Sniper,7.4,4600,2014,58.8,542.307423
FALSE,en,6.820925,102,Tusk,5.1,374,2014,2.8,1.826705
FALSE,en,23.242452,99,Annabelle,5.5,1588,2014,6.5,255.273813
FALSE,en,16.316318,92,Dracula Untold,6.2,2439,2014,70,215.529201
FALSE,en,16.219485,93,The Prince,4.6,218,2014,18,266.5868
FALSE,en,5.955203,99,The Adventurer: The Curse of the Midas Box,5.1,74,2013,25,0.006399
FALSE,en,10.524204,97,Predestination,7.3,1971,2014,5.5,3
FALSE,en,8.196975,117,The Best of Me,7.2,777,2014,26,35.926213
